heading,date,content
25 fun things to do this winter,"Nov 19, 2020","Winter brings holiday cheer, fresh snow and lacy designs on frosty windows, plus a suite of seasonal celebrations that span the globe. Whether you're lighting a menorah or baking cookies for Santa, this is a time to look forward to. Outside, there are animals to track, bonfires to light and blizzards that turn the world into a sparkling playground. For many, though, winter can mean seasonal depression, and it's arriving at a time when people are already feeling the strain of the pandemic. But research shows that finding things to look forward to may help offset the blues—consider this list"
Forget the post-election blues: Here's how to make what you do next matter.,"Nov 12, 2020","After years of campaigning and days of uncertainty following Election Day in the United States, the results may be cause for celebration or mourning, depending on who you voted for. Whether it's a good or bad outcome for your side, there are ways to leverage the emotions of this moment to use your life to further the causes you care about and possibly be a part of building lasting change. Vote and register people to vote The state of Georgia will have two runoffs, scheduled for January 5, because no candidate in either of the state's US Senate elections reached"
These three charts show Trump and Biden's favorite TV shows for campaign ads,"Oct 28, 2020","Despite the partisan rancor of the past several months, there's at least one issue on which the campaigns of President Donald Trump and former Vice President Joe Biden agree: Their voters love ""The Big Bang Theory."" Political advertisers on both sides of the 2020 presidential race have targeted reruns of the syndicated sitcom more than any other scripted TV program, according to a CNN analysis of data collected by Kantar Media, a data and consulting firm that monitors political advertising. The analysis looked at the broadcast programming most frequently targeted by Trump and Biden in the media markets that have"
What you need to prepare for the Covid-19 surge this season,"Oct 27, 2020","As the weather gets colder and we face the double threat of the flu and a surge in Covid-19 cases, now is a prime opportunity to stock up on food and supplies. Covid-19 cases will likely increase in the winter months for three reasons: ""First, the virus that causes Covid-19 is a coronavirus and other coronaviruses spread more in winter months,"" said CNN Medical Analyst Dr. Leana Wen. ""Second, in winter months, the air is less humid. Particles that carry the virus can linger in the air for longer. Also, our nasal membranes are drier and more vulnerable to infection."""
"What you need to know about coronavirus on Wednesday, October 14","Oct 14, 2020","The US is now grappling with a new Covid-19 surge, one that could overwhelm hospitals, kill thousands of Americans a day by January and leave even young survivors with long-term complications, Christina Maxouris and Holly Yan write. At least 36 states are now reporting increased cases of the virus and hospitalizations are on the rise nationwide in the ""fall/winter surge that everyone was worried about,"" Dr. Peter Hotez, dean of the National School of Tropical Medicine at Baylor College of Medicine, said yesterday. The US is now averaging 49,000 new infections a day, according to Johns Hopkins University data, with"
Lonely Planet ranks ultimate travel destinations in new list,"Oct 13, 2020","Many of us have been forced to rethink travel plans in the wake of Covid-19, but if you're soothing your canceled-vacation-blues by daydreaming about future adventures, Lonely Planet's new ""Ultimate Travel List"" might be just what you need. Lonely Planet has just released the second edition of its popular ""Ultimate Travel List"" coffee table book, which ranks the world's top 500 unmissable travel experiences. The new list, collated by Lonely Planet's team of experts, spotlights must-see and must-do experiences, from spotting wildlife on the Galapagos Islands to admiring the spectacular Iguazú Falls waterfall that spans Argentina and Brazil, to wandering"
These light therapy lamps can help beat the blues,"Oct 1, 2020","Fall is creeping in, which means shorter, colder days and less time to spend outside. And this year, doctors are worried Covid-19 will have a resurgence during the colder season, which, coupled with the flu season, has us thinking we might just spend the rest of the year inside. However, spending day after day indoors can make you feel a bit stir-crazy, and can even be detrimental to your health. Your body's circadian system thrives off natural light, and with the lack of sun exposure that comes with locking yourself in your house, your mood and sleep cycles can get"
"Milan Fashion Week: Puppet models, aquatic escapism and the tentative return of runways","Sep 23, 2020","Milan Fashion Week (MFW) came to an optimistic close Sunday, having hosted significantly more in-person runway shows than either London or New York before it. In a city that, in February, experienced one of Europe's first coronavirus outbreaks, journalists, buyers, celebrities and fashion industry workers from around the world were permitted to sit in close proximity to one another at live events. Max Mara, Etro, Fendi and Valentino were among more than 20 labels to stage physical shows at venues around Milan, representing over a third of the week's schedule. But while Italy is currently recording far fewer new cases"
"5 things to know for September 23: Covid-19, Breonna Taylor, UN, domestic violence","Sep 23, 2020","As the US passes a sobering milestone, Covid-19 survivors have a message for those who view the pandemic as politics: The virus is not a hoax. Here's what you need to know to Get Up to Speed and On with Your Day. (You can also get ""5 Things You Need to Know Today"" delivered to your inbox daily. Sign up here.) 1. Coronavirus This time last year, the headline we are facing today would have been unbelievable. Unfathomable. A sick joke. More than 200,000 people have died on American soil of a virus that, mere months ago, was completely unknown"
Pierre-Emerick Aubameyang brace helps Arsenal lift the FA Cup against Chelsea,"Aug 2, 2020","Arsenal came from behind to claim the FA Cup with a 2-1 victory against Chelsea thanks to a Pierre-Emerick Aubameyang double at Wembley Stadium. Chelsea took the lead after five minutes through Christian Pulisic, but Arsenal came back strongly midway through the first half when Aubameyang was brought down by Cesar Azpilicueta in the Chelsea box. The striker converted from the penalty spot, and although Chelsea started the second period strongly, it was captain Aubameyang who gave Arsenal the lead when he found some space in the box and produced a deft chip over Willy Caballero. Visit CNN.com/sport for more"
Why Greece could be Europe's best holiday ticket right now,"Aug 1, 2020","If you're wondering how coronavirus has affected that Greece vacation dream of blue skies, bluer seas, bright sunshine and the most delicious al fresco salad you've ever tasted -- it hasn't. Greece has worked hard to adapt its tourism offering in an age of infection. For the time being at least, this seems to be paying off, even as a second wave of infections threatens other European destinations. Thanks in part to the fact that it's so far seen few cases, visiting many parts of Greece right now is almost like visiting a country where Covid-19 never happened. There are"
Everything you need to start a soothing loose-leaf tea drinking habit,"Jul 30, 2020","The experience of brewing tea has changed very little over the centuries. It doesn't need to. This simple pleasure has been proven to help reduce the stress response and aid in recovering from stressful experiences. (Hello, Covid-19, we see you!) For Julie DeBord, master tea blender and production manager at Mountain Rose Herbs, tea — specifically loose-leaf tea — is calm. With a background in nutrition and nearly 20 years of experience in the tea trade, DeBord cites tea as an integral part of her well-being. ""One of the beauties of loose-leaf tea is the process of brewing it,"" she"
Virgin Galactic's rocket plane will use 16 cameras to capture space tourists' every move,"Jul 29, 2020","When Virgin Galactic's tourism customers take their quarter-million dollar ride to the edge of space, they'll strap themselves into custom-made reclining seats and blast into the upper atmosphere before spending a few minutes floating in microgravity — all while an on-board camera system captures their next social media posts. Virgin Galactic hosted a live web event on Tuesday to debut the interior of SpaceShipTwo, which has been in development for more than 15 years and may now be within months of flying Virgin Galactic's first group of wealthy thrill seekers, according to the company. But the company still has several"
Why America is running out of aluminum cans,"Jul 23, 2020","A shortage of one of the most mundane items in daily life -- the humble aluminum can -- means beer fans are likely to find that some of their favorite brews are out of stock right now. The supply problem is prompting brewers like Molson Coors, Brooklyn Brewery and Karl Strauss to cut back on the breadth of brands they sell and exacerbating concerns of out-of-stocks. ""Everyone who makes anything that goes into a 12-ounce can is being challenged to some respect,"" Adam Collins, Molson Coors' spokesperson, told CNN Business. One major factor is the coronavirus and changing habits related"
"Crowds, yes crowds, return to watch Super Rugby in 'coronavirus-free' New Zealand","Jun 13, 2020","While top-class sport is slowly returning to empty stadiums and with strict hygiene and social distancing measures in place, rugby union fans in New Zealand have gone back to what everyone hopes will be the future. An estimated crowd of 20,000 packed into the Forsyth Barr Stadium in Dunedin Saturday to watch the home side Otago Highlanders host the Waikato Chiefs in the Super Rugby Aotearoa competition. With barely a face mask in sight and with enthusiastic fans hugging each other with delight when points were scored, it was a successful return to the ""normal"" for Otago, which beat the"
Pandemic blues: Crush it with creativity,"Jun 12, 2020","Justin Mavin had never baked bread prior to the pandemic. A friend sent him a link in early March with instructions on how to create a sourdough starter, and his first attempt was a success. Now he's hooked and bakes sourdough bread weekly. ""In Australia, we went into Covid lockdown mid-March, and I had more free time around the house,"" said Mavin, a clinical oncology researcher who lives in Sydney, Australia. ""I'd heard about sourdough baking and thought, What a great time to test out my baking abilities."" Whether you're quarantined at home or taking a break from protesting on"
June 9 coronavirus news,"Jun 9, 2020","Our live coverage of the coronavirus pandemic has ended for the evening. Read up on the latest news here. According to the latest United States Department of Agriculture’s Coronavirus Food Assistance Program payment report released Monday, $1.4 billion has been awarded across more than 80,000 applicants since the program was announced in mid-May. USDA Commissioner Sonny Perdue said in a May 19 release the CFAP assistance program would provide up to $16 billion “in direct payments to deliver relief to America’s farmers and ranchers impacted by the coronavirus pandemic.” The payment report cites that 49 states and two territories had"
June 4 coronavirus news,"Jun 4, 2020","Peru reported 137 new coronavirus-related deaths on Thursday, raising the national death toll to 5,031, according to the country’s health ministry. The number of coronavirus cases rose to 183,198 on Thursday, an increase of 4,284 from the previous day, according to the ministry. Peru has the second-highest number of coronavirus cases in Latin America, following Brazil, according to a Johns Hopkins University tally. ##Cases## The number of coronavirus-related cases and deaths in the Brazilian state of Sao Paulo is likely to be underreported, a state health official said Thursday. Some of the coronavirus cases have likely been registered as severe"
Has the UK just canceled summer by imposing a 14-day quarantine?,"Jun 4, 2020","Across Europe, beaches are getting ready for their first socially distanced foreign visitors, hotels are airing out rooms and restaurants are laying alfresco tables. With borders now open, the travel industry is trying to salvage as much of the peak tourist season as possible. Right now, almost everyone's invited, but despite the alluring prospect of blue Mediterranean seas and bluer skies, one country isn't coming -- and people are getting very angry about it. For the UK, it seems, summer vacations could still be canceled. Even as it appears to be emerging from one of the continent's worst coronavirus outbreaks,"
A roundup of CNN Underscored's coronavirus coverage,"Mar 21, 2020","The coronavirus (covid-19) has undeniably changed how we go about our daily lives. That's why the CNN Underscored team has made it a priority to help you navigate through this time. We're continuously researching and interviewing experts, trying out new products and services and distilling information to give you the best options to shop for what you need and different ways to cope. From helping keep the kids entertained to tips on practicing self-care, we're here for you. We'll regularly update this page with guides and recommendations as the situation progresses. Our Latest Coverage: On how to stay healthy From"
Mark Seliger's celebrity photographs on auction for Covid relief,"May 26, 2020","Comedian and actor Amy Schumer pictured in New York in 2015 for GQ magazine. Seliger photographed singer Billie Eilish in Los Angeles in February 2020. This shot of movie star Brad Pitt was taken in 2014. This photo of musician Bruce Springsteen appeared in the December 1998 issue of Rolling Stone magazine. Seliger photographed actor Julia Louis-Dreyfus for the April 2014 issue of Rolling Stone. Singer Courtney Love pictured here in Chicago in 1994. This group shot of Laura Dern, Reese Witherspoon and Nicole Kidman was taken in 2016. Dr. Dre and Snoop Dogg pictured here in Los Angeles in"
There's a rebellion brewing and Trump is egging it on,"May 12, 2020","There's a Covid-19 rebellion brewing in Pennsylvania, where counties led by Republicans and some businesses have said they'll defy Democratic Gov. Tom Wolf's restrictive orders. Wolf has said he'll withhold stimulus funding from those counties if they ignore his orders. He's taken a tiered strategy to reopening the state and moved scores of counties to a new, more open ""yellow"" phase. Some of those still on ""red"" don't want to wait for the state anymore. President Donald Trump, naturally, cheered on the counties on Twitter on Monday, and accused Democrats of trying to slow-walk the opening to hurt him in"
A tale of two Bristols: How two states' reopening plans have one town caught in the middle,"May 11, 2020","In the town of Bristol that straddles the Virginia-Tennessee line, Joe Deel can see people dining in restaurants 50 yards away in Tennessee. But he can't accept customers in his Virginia restaurant yet. ""If there's a virus over there, it's over here,"" Deel said. Though split across two states, Bristol is one community, with one chamber of commerce. Now, due to different schedules for reopening Tennessee and Virginia after coronavirus shutdowns, neighboring businesses are experiencing different economies. Tennessee Gov. Bill Lee, a Republican, began reopening restaurants on April 27 at reduced capacity. That order was soon followed by another to"
Covid-19 taking toll on blues community,"May 7, 2020","Pat ""Mother Blues"" Cohen has survived Hurricane Katrina and losing her North Carolina home to a fire. She's now determined to survive the coronavirus pandemic. ""I'm not new to this game, I'm true to the game,"" the blues singer told CNN. ""I've been doing it for a long time. You really have a lot of ups and downs in this crazy situation."" Cohen is part of a community of musicians trying to keep the blues alive in a landscape where live music is on hold and the artists dedicated to the genre are particularly vulnerable to Covid-19. Not only are"
Donald Trump turns the switch,"May 3, 2020","Gone were the daily White House briefings with Vice President Mike Pence solemnly urging Americans to shelter at home to stop the spread of Covid-19 and governors to follow a slowly phased-in reopening plan. The 45 days of federally recommended social distancing ended Thursday. Now the Trump administration was all-in on reopening America. Governors in Georgia, Texas and Colorado, among others, were opening their states. The Senate was on its way back to Washington and the President left the confinement of the White House, headed to Camp David for the weekend and was making plans to travel around the country."
Pence unmasked shows his obedience to Trump,"Apr 30, 2020","Who was that unmasked man hovering dangerously close to everyone at the Mayo Clinic? It was Vice President Mike Pence, doing his best imitation of President Donald Trump's super-troll leadership style. More importantly, he was publicly demonstrating that whatever personal strength he possessed when he agreed in 2016 to be Trump's understudy has now pathetically withered. To recap Tuesday's travesty: Pence was hosted by the Mayo Clinic in Rochester, Minnesota, for a rare high-level visit to the frontline of the pandemic that has killed nearly 60,000 Americans in two short months . The Mayo Clinic tweeted that Pence and his"
These 12 essential apps will make quarantine bearable,"Apr 18, 2020","You sure are spending a lot more time on that phone of yours nowadays, aren't you? But perhaps you've tired of Sudoku, your eyes glaze over during Netflix binges and you haven't touched Candy Crush since you started seeing the game in your dreams. It's unclear how how long we'll be sequestered like this. We'll keep you busy with a cadre of new apps. So massage that crick in your neck, put on your blue-light glasses and settle down with these digital offerings. They're instructive, entertaining and nice to scroll through before taking your third nap of the day. Almost"
Colleges consider the unthinkable: Dropping SAT and ACT requirements for next year's applicants,"Apr 15, 2020","This year's high school juniors may finally do what they've often dreamed: kiss their college prep books goodbye. An increasing number of universities are dropping the SAT and ACT requirement for fall 2021 admissions in response to the coronavirus pandemic. With high schools across the nation shut down or in limited operation, ACT Inc. and the College Board, the companies behind the ACT and SAT, canceled administrations of the exams until June, prompting a record number of colleges and universities to suspend the standardized test requirement or make it optional. In total, about 51 universities and colleges have dropped the"
Liverpool legend Kenny Dalglish tests positive for coronavirus,"Apr 11, 2020","Liverpool legend Kenny Dalglish has tested positive for coronavirus after being admitted to hospital earlier this week for treatment for a separate infection. The 69-year-old former Scottish international striker is not showing any symptoms of the disease, his family said in a statement released by English Premier League leader Liverpool. Dalglish has been in hospital since Wednesday for a condition which required intravenous antibiotics and was routinely checked for Covid-19. ""Unexpectedly, the test result was positive but he remains asymptomatic,"" said the statement. ""Prior to his admission to hospital, he had chosen to voluntarily self isolate for longer than the"
The IPO window may be sealed shut because of coronavirus,"Mar 20, 2020","Buzzy privately held unicorns like DoorDash, Robinhood and Airbnb started 2020 with hopes to go public. But the global coronavrius pandemic may have ended any chances of them -- or other startups -- making their Wall Street debut anytime soon. The broader stock market has plunged into bear territory because of worries about how the COVID-19 outbreak will almost certainly lead to a recession -- if it hasn't already. Newly public companies have taken an even bigger hit. Investors were already worried about their valuations and ability to generate consistent profitability before the coronavirus crisis. This newfound skepticism is one"
